"subj_id","left_word","left_number","middle_word","middle_number","right_word","right_number","correct_choice_position","is_catch_trial","participant_response_position_e2","is_consistent","trial_num","chose_gems","chose_onlystones","chose_other","response_position","stoneposition","chose_gems_p2","chose_onlystones_p2","chose_other_p2","response_position_p2","correct_choice_position_p2","rt","rt_p2","mentioned_rule"
"6773dea609f77d473900997a","Phone",2,"Socks",4,"Soda",4,"left",FALSE,"left",FALSE,12,FALSE,FALSE,TRUE,"right","middle",TRUE,FALSE,FALSE,"left","left",3766.5,4764.19999998808,TRUE
"637fcee60a8378c1c3a65898","Rock",4,"Bug",2,"Peas",2,"right",FALSE,"right",TRUE,12,TRUE,FALSE,FALSE,"right","middle",TRUE,FALSE,FALSE,"right","right",4348.5,2195,FALSE
"63f77a5dde1ea03305e119e0","Tie",2,"Dress",5,"Rice",5,"middle",FALSE,"middle",FALSE,12,FALSE,FALSE,TRUE,"left","right",TRUE,FALSE,FALSE,"middle","middle",1847.29999999702,3813.40000000224,FALSE
"5fbf90f025a567296d943c7e","Sofa",4,"Truck",2,"Flower",2,"left",FALSE,"left",FALSE,12,FALSE,FALSE,TRUE,"right","middle",TRUE,FALSE,FALSE,"left","left",3731.10000014305,2028.80000019073,FALSE
"636d6ce3fb3683ff33f9e514","Bear",4,"Candy",1,"Fork",1,"right",FALSE,"right",FALSE,12,FALSE,FALSE,TRUE,"left","middle",TRUE,FALSE,FALSE,"right","right",6681,43379,FALSE
"5af2a03697a14300017d2ba4","Sweater",5,"Boat",5,"Bow",5,"right",FALSE,"middle",FALSE,12,FALSE,FALSE,TRUE,"left","middle",FALSE,TRUE,FALSE,"middle","right",1797,4441,FALSE
"60e3a25e8be835f754795d93","Soap",5,"Hips",2,"Spaghetti",2,"right",FALSE,"right",TRUE,12,TRUE,FALSE,FALSE,"right","left",TRUE,FALSE,FALSE,"right","right",1541,2412.59999990463,TRUE
"66b5172c8f0bd3b23ce66c22","Paper",4,"Jacket",3,"Pencil",3,"left",FALSE,"right",FALSE,13,TRUE,FALSE,FALSE,"left","right",FALSE,TRUE,FALSE,"right","left",1298.60000002384,2031.89999997616,FALSE
"5ba60abd9629a90001b36fdc","Mirror",1,"Coloring Book",4,"Taco",4,"right",FALSE,"middle",TRUE,13,FALSE,FALSE,TRUE,"middle","left",FALSE,FALSE,TRUE,"middle","right",2764.80000001192,2441.39999997616,FALSE
"65dc99d0191a135ab835bf69","String",2,"Tractor",3,"Hat",3,"left",FALSE,"middle",TRUE,13,FALSE,FALSE,TRUE,"middle","right",FALSE,FALSE,TRUE,"middle","left",1092.10000000149,1589.69999999925,FALSE
"60fe7bf61c7567f5cca9ade6","Heart",2,"Ladder",3,"Swimsuit",3,"left",FALSE,"left",FALSE,13,FALSE,TRUE,FALSE,"right","right",TRUE,FALSE,FALSE,"left","left",1398.59999999404,3523.89999999106,TRUE
"5c9d88bb2b3c77001744ec1c","Chalk",3,"Bat",1,"Motorcycle",1,"left",FALSE,"left",TRUE,13,TRUE,FALSE,FALSE,"left","middle",TRUE,FALSE,FALSE,"left","left",1927,2023.69999999925,FALSE
"5e283f576dbb560114ac7714","Owl",4,"Shoulders",2,"Jacket",2,"right",FALSE,"right",TRUE,13,TRUE,FALSE,FALSE,"right","left",TRUE,FALSE,FALSE,"right","right",7150.59999990463,3527.79999995232,FALSE
