success,trial_type,trial_index,time_elapsed,internal_node_id,STUDY_ID,PROLIFIC_PID,SESSION_ID,participant_number,reconstruction_instructions,comprehend_reconstruction,nonpretend_instructions,comprehend_np,nickname,bonus,condition,view_history,rt,responses,question_order,correct,test_part,grid,already_clicked,click_log,final_grid_state,num_clicks,cheat,round_points,misses,grid_number
,findSquares,9,300161,0.0-4.0-4.0-0.1,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"",,"","",,non-pretend,"[['1', '1', '1', '0', '0', '1'], ['0', '0', '0', '0', '0', '1'], ['0', '0', '0', '0', '0', '0'], ['0', '0', '0', '0', '1', '0'], ['1', '1', '0', '1', '1', '0'], ['0', '0', '0', '0', '0', '0']]","[[0, 1], [0, 5], [4, 0], [4, 4]]","{'i': [0, 0, 4, 1, 3, 4, 4, 1, 1, 5, 4, 3, 1, 3, 3, 3, 2, 5, 5, 5, 2, 0], 'j': [0, 4, 5, 0, 0, 1, 3, 5, 4, 3, 2, 1, 1, 4, 3, 5, 4, 4, 1, 0, 5, 2], 't': [2239.199999999255, 3520.699999999255, 4651.199999999255, 11015.599999999627, 12994.599999999627, 13922.699999999255, 15154.5, 17632.199999999255, 22634.599999999627, 24018.299999999814, 26177.39999999944, 27248.099999999627, 29755.5, 31569.699999999255, 32553.599999999627, 33802.09999999963, 35003.59999999963, 36737.199999999255, 39042.59999999963, 40051.5, 43738.89999999944, 47846.199999999255], 'hit': ['1', '0', '0', '0', '0', '1', '1', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1'], 'b': []}","[['black', 'black', 'black', 'unknown', 'white', 'black'], ['white', 'white', 'unknown', 'unknown', 'white', 'black'], ['unknown', 'unknown', 'unknown', 'unknown', 'white', 'white'], ['white', 'white', 'unknown', 'white', 'black', 'white'], ['black', 'black', 'white', 'black', 'black', 'white'], ['white', 'white', 'unknown', 'white', 'white', 'unknown']]",22,0,10,,10
,instructions,10,302760,0.0-4.0-4.0-1.1,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"[{""""page_index"""":0,""""viewing_time"""":2596.2000000001863}]",2597.40000000037,"","",,"","","","","",,,,,
,findSquares,11,332650,0.0-4.0-4.0-0.2,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"",,"","",,non-pretend,"[['0', '0', '0', '0', '0', '0'], ['0', '0', '0', '0', '0', '0'], ['0', '1', '1', '1', '0', '0'], ['0', '0', '1', '0', '0', '1'], ['1', '1', '0', '0', '0', '1'], ['1', '0', '0', '0', '0', '1']]","[[2, 2], [4, 1], [4, 5]]","{'i': [4, 5, 3, 3, 5, 4, 3, 3, 4, 5, 5, 2, 1, 1, 2, 3, 3, 2], 'j': [4, 5, 5, 4, 4, 2, 1, 0, 0, 0, 1, 1, 1, 2, 0, 2, 3, 3], 't': [5399.700000000186, 6518.9000000003725, 7520.9000000003725, 8589.600000000559, 10491.600000000559, 11966.400000000373, 12954.5, 13884, 14621, 15539.600000000559, 16438, 19366.400000000373, 20225.60000000056, 22209.700000000186, 23578.799999999814, 25405.700000000186, 26879.799999999814, 27868.5], 'hit': ['0', '1', '1', '0', '0', '0', '0', '0', '1', '1', '0', '1', '0', '0', '0', '1', '0', '1'], 'b': []}","[['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown'], ['unknown', 'white', 'white', 'unknown', 'unknown', 'unknown'], ['white', 'black', 'black', 'black', 'unknown', 'unknown'], ['white', 'white', 'black', 'white', 'white', 'black'], ['black', 'black', 'white', 'unknown', 'white', 'black'], ['black', 'white', 'unknown', 'unknown', 'white', 'black']]",18,0,15,,8
,instructions,12,336367,0.0-4.0-4.0-1.2,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"[{""""page_index"""":0,""""viewing_time"""":3714.600000000559}]",3715.60000000056,"","",,"","","","","",,,,,
,findSquares,13,372520,0.0-4.0-4.0-0.3,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"",,"","",,non-pretend,"[['0', '0', '0', '0', '0', '0'], ['0', '0', '1', '1', '0', '0'], ['0', '0', '1', '0', '0', '0'], ['0', '1', '0', '0', '1', '0'], ['0', '1', '0', '0', '1', '1'], ['0', '1', '0', '0', '1', '0']]","[[1, 2], [4, 4], [5, 1]]","{'i': [5, 4, 5, 3, 2, 3, 1, 0, 1, 2, 4, 5, 4, 5, 5, 3, 2, 1, 0, 4, 3], 'j': [2, 1, 0, 1, 1, 0, 1, 2, 3, 3, 3, 4, 5, 5, 3, 2, 2, 4, 3, 2, 4], 't': [2013.2999999998137, 3975.7999999998137, 8012, 10105, 11587.200000000186, 12888.600000000559, 14517.200000000186, 15411.600000000559, 16182.299999999814, 17999, 19381.5, 21158, 22187.299999999814, 23044.900000000373, 24649.5, 26728.400000000373, 27899.799999999814, 28908, 30049.60000000056, 32979.5, 34140], 'hit': ['0', '1', '0', '1', '0', '0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '1', '0', '0', '0', '1'], 'b': []}","[['unknown', 'unknown', 'white', 'white', 'unknown', 'unknown'], ['unknown', 'white', 'black', 'black', 'white', 'unknown'], ['unknown', 'white', 'black', 'white', 'unknown', 'unknown'], ['white', 'black', 'white', 'unknown', 'black', 'unknown'], ['unknown', 'black', 'white', 'white', 'black', 'black'], ['white', 'black', 'white', 'white', 'black', 'white']]",21,0,12,,9
,instructions,14,375331,0.0-4.0-4.0-1.3,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"[{""""page_index"""":0,""""viewing_time"""":2807.699999999255}]",2809,"","",,"","","","","",,,,,
,instructions,15,377227,0.0-4.0-5.0,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"[{""""page_index"""":0,""""viewing_time"""":1894.3999999994412}]",1895.20000000019,"","",,"","","","","",,,,,
,instructions,16,416721,0.0-4.0-6.0-0.0,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"[{""""page_index"""":0,""""viewing_time"""":9747.800000000745},{""""page_index"""":1,""""viewing_time"""":13464.399999999441},{""""page_index"""":2,""""viewing_time"""":4086.7000000001863},{""""page_index"""":3,""""viewing_time"""":12192}]",39491.5,"","",,"","","","","",,,,,
,survey-multi-choice,17,423111,0.0-4.0-6.0-1.0,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"",6385.89999999944,"{""""Q0"""":""""... <b>repeat</b> my clicks from the first round, in the same order""""}",[0],1,multichoice_reconstruction,"","","","",,,,,
,instructions,18,428328,0.0-4.0-7.0,6978a4c5f1475ddbda96cde5,67fbe860ceaf5c3054dd9654,6978ad4f0192585894169b6f,17,1,TRUE,1,TRUE,Player 17,54,asymmetric,"[{""""page_index"""":0,""""viewing_time"""":5212.799999999814}]",5213.59999999963,"","",,"","","","","",,,,,
